2026-05-26 13:41:33.388 INFO  [18340] [CServerManager::PrintLog@36267] ======================================== 4.2.0 build Sep  6 2022 10:18:34 Start Print Log ========================================

2026-05-26 13:41:33.916 INFO  [18340] [CServerManager::SM_Init@515] SDK: StartSub success.

2026-05-26 13:41:33.916 INFO  [18340] [CServerManager::StartModuResSub@24943] start

2026-05-26 13:41:33.916 INFO  [18340] [CServerManager::StartModuResSub@24956] end

2026-05-26 13:41:33.916 INFO  [18340] [CServerManager::SM_Init@525] SDK: StartModuResSub success.

2026-05-26 13:41:33.916 INFO  [18340] [CServerManager::ProxyP2PConnect@36857] Begin

2026-05-26 13:41:33.916 INFO  [18340] [CServerManager::GetProxyP2PAddr@36801] start

2026-05-26 13:41:33.916 INFO  [20872] [CServerManager::HeartPairThreadProcess@25875] start

2026-05-26 13:41:33.916 INFO  [20088] [CServerManager::SubThreadProcess@24882] start

2026-05-26 13:41:33.916 INFO  [19072] [CServerManager::ModuResSubThreadProcess@25006] start

2026-05-26 13:41:33.916 INFO  [18340] [CServerManager::GetProxyP2PAddr@36847] end

2026-05-26 13:41:33.916 INFO  [18340] [ProxyP2PComm::InitP2PComm@60] start

2026-05-26 13:41:33.918 INFO  [18340] [ProxyP2PComm::InitP2PComm@97] end

2026-05-26 13:41:33.918 INFO  [18340] [CServerManager::ProxyP2PConnect@36872] End

2026-05-26 13:41:33.918 INFO  [18340] [CServerManager::SM_Init@563] end

2026-05-26 13:41:33.918 INFO  [18340] [CServerManager::SM_SetAllReportModuleResult@14887] start.

2026-05-26 13:41:33.918 INFO  [18340] [CServerManager::SM_SetAllReportModuleResult@14911] end.

2026-05-26 13:41:33.918 INFO  [18340] [CServerManager::SM_GetProcedureReentrant@21103] start.

2026-05-26 13:41:33.921 INFO  [18340] [CServerManager::SM_GetProcedureReentrant@21138] SDK: SM_GetProcedureReentrant nRecvBufLen:[228]

2026-05-26 13:41:33.921 INFO  [18340] [CServerManager::SM_GetProcedureReentrant@21186] end.

2026-05-26 13:41:33.921 INFO  [18340] [CClientManager::PF_CreateHandle@1535] end.

2026-05-26 13:41:34.438 INFO  [18340] [CServerManager::SM_RegisterOutputPlatformInfoCallBack@575] start

2026-05-26 13:41:34.438 INFO  [18340] [CServerManager::SM_RegisterOutputPlatformInfoCallBack@601] end

2026-05-26 13:41:34.444 INFO  [18340] [CServerManager::SM_CheckSolution@322] start

2026-05-26 13:41:34.456 INFO  [18340] [CServerManager::SM_CheckSolution@342] end

2026-05-26 13:41:34.464 INFO  [18340] [CServerManager::SM_LoadSolution@1701] start

2026-05-26 13:41:34.464 INFO  [18340] [CServerManager::SM_CheckSolution@322] start

2026-05-26 13:41:34.464 INFO  [18340] [CServerManager::SM_CheckSolution@342] end

2026-05-26 13:41:34.464 INFO  [18340] [CServerManager::SM_LoadSolution@1785] m_bIsTool:[0]

2026-05-26 13:41:34.464 INFO  [18340] [CServerManager::SM_LoadSolution@1788] Judge start.

2026-05-26 13:41:34.464 INFO  [18340] [CServerManager::SM_GetSolutionVersion@1484] start

2026-05-26 13:41:34.464 INFO  [18340] [CServerManager::SM_GetSolutionVersion@1504] SDK: UncompressOneFile start.

2026-05-26 13:41:34.466 INFO  [18340] [CServerManager::SM_GetSolutionVersion@1511] SDK: UncompressOneFile end.

2026-05-26 13:41:34.468 INFO  [18340] [CServerManager::SM_GetSolutionVersion@1533] end

2026-05-26 13:41:34.468 INFO  [18340] [CServerManager::SM_LoadSolution@1798] SM_GetSolutionVersion:[V4.3.0]

2026-05-26 13:41:34.468 INFO  [18340] [CServerManager::SM_LoadSolution@1807] Judge end.

2026-05-26 13:41:34.468 INFO  [18340] [CServerManager::SM_LoadSolution@1896] end

2026-05-26 13:41:34.468 INFO  [20088] [CServerManager::ParseLoadSolBeginInfo@28577] SDK: Callback load solution start information start.

2026-05-26 13:41:34.470 INFO  [20088] [CServerManager::ParseLoadSolBeginInfo@28594] SDK: Callback load solution start information end. ClientType:[1] Path:[D:\xcm\Test\相机拍与输出（无数据输出）2.sol]

2026-05-26 13:41:34.470 INFO  [20088] [CServerManager::ParseLoadSolProgressInfo@28813] SDK: Cb load solution process:[15]

2026-05-26 13:41:35.650 INFO  [20088] [CServerManager::ParseLoadSolProgressInfo@28813] SDK: Cb load solution process:[30]

2026-05-26 13:41:35.909 INFO  [20088] [CServerManager::ParseLoadSolProgressInfo@28813] SDK: Cb load solution process:[50]

2026-05-26 13:41:35.930 INFO  [20088] [CServerManager::ParseModuleReportData@29264] SDK: Callback algorithm init register info start.

2026-05-26 13:41:35.931 INFO  [20088] [CServerManager::ParseModuleReportData@29282] SDK: Callback algorithm init register info end. ModuleID:[6], nType:[3221225472]

2026-05-26 13:41:35.936 INFO  [20088] [CServerManager::ParseModuleReportData@29103] SDK: Callback communication data info start.

2026-05-26 13:41:35.937 INFO  [20088] [CServerManager::ParseModuleReportData@29153] SDK: Callback communication data info end. nType:[1025]

2026-05-26 14:07:18.696 INFO  [22236] [CServerManager::PrintLog@36267] ======================================== 4.2.0 build Sep  6 2022 10:18:34 Start Print Log ========================================

2026-05-26 14:07:18.726 INFO  [22236] [CClientManager::InitAuthorization@5906] begin.

2026-05-26 14:07:18.727 INFO  [22236] [CClientManager::CheckLicense@6631] start

2026-05-26 14:07:18.727 INFO  [22236] [CClientManager::CheckLicense@6683] end

2026-05-26 14:07:19.094 INFO  [22236] [CClientManager::InitAuthorization@5962] SDK: InitAuthorization, authorization check successful.

2026-05-26 14:07:19.094 INFO  [22236] [CClientManager::InitAuthorization@5966] end.

2026-05-26 14:07:19.094 INFO  [22236] [CClientManager::Init@5408] begin.

2026-05-26 14:07:19.094 INFO  [22236] [CClientManager::DeInitPair@5695] start

2026-05-26 14:07:19.094 INFO  [22236] [CClientManager::DeInitPair@5709] end

2026-05-26 14:07:19.094 INFO  [22236] [CClientManager::DeInitPair@5695] start

2026-05-26 14:07:19.094 INFO  [22236] [CClientManager::DeInitPair@5709] end

2026-05-26 14:07:19.094 INFO  [22236] [CClientManager::Init@5426] end.nRet[0]

2026-05-26 14:07:19.094 INFO  [22236] [CClientManager::PF_DetectAndStartServer@12450] begin.

2026-05-26 14:07:19.103 INFO  [22236] [CServerManager::DetectService@33992] SDK: DetectService by OpenSCManager start

2026-05-26 14:07:19.103 INFO  [22236] [CServerManager::DetectService@34057] end

2026-05-26 14:07:19.103 INFO  [22236] [CClientManager::PF_DetectAndStartServer@12645] end.

2026-05-26 14:07:19.103 INFO  [22236] [CClientManager::PF_CreateHandle@1447] begin. nHandleType:[0]

2026-05-26 14:07:19.109 INFO  [22236] [CClientManager::PF_CreateHandle@1475] SDK: Third software start server by exe.

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::SM_Init@388] start

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::DeInit@23691] start

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::StopModuResSub@24968] start

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::StopModuResSub@24978] end

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::StopSub@24844] start

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::StopSub@24854] end

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::StopHeartPair@25850] start

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::StopHeartPair@25858] end

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::DeInitReadSendBuffer@23798] start

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::DeInitReadSendBuffer@23820] end

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::DeInitHeartPair@24496] start

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::StopHeartPair@25850] start

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::StopHeartPair@25858] end

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::DeInitHeartPair@24511] end

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::DeInitSub@23975] start

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::DeInitSub@23989] end

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::DeInitProxySub@24078] start

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::DeInitProxySub@24093] end

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::DeInitReq@24353] start

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::UnRegisterModule@24777] start

2026-05-26 14:07:19.109 WARN  [22236] [CServerManager::UnRegisterModule@24780] SDK: m_hCommunicationReq is NULL.

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::NotifyServerDestroy4Export@12373] start

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::NotifyServerDestroy4Export@12389] end

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::DeInitReq@24378] end

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::DeInit@23729] end

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::InitReadSendBuffer@23740] start

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::DeInitReadSendBuffer@23798] start

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::DeInitReadSendBuffer@23820] end

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::InitReadSendBuffer@23787] end

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::SM_Init@423] SDK: InitReadSendBuffer success.pstPlatformBasicInfo->nRepIp[0x7f000001],nport[5556]

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::SM_Init@442] SDK: GetAdapterInfo success. Info:[127.0.0.1]

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::InitSub@23894] start

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::DeInitSub@23975] start

2026-05-26 14:07:19.109 INFO  [22236] [CServerManager::DeInitSub@23989] end

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::InitSub@23964] end

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::SM_Init@480] SDK: InitSub success.

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::InitProxySub@23999] start

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::DeInitProxySub@24078] start

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::DeInitProxySub@24093] end

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::InitProxySub@24067] end

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::SM_Init@489] SDK: InitProxySub success.

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::InitHeartPair@24383] start

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::DeInitHeartPair@24496] start

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::StopHeartPair@25850] start

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::StopHeartPair@25858] end

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::DeInitHeartPair@24511] end

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::InitHeartPair@24418] SDK: request heartbeat addr[tcp://127.0.0.1:61808]

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::InitHeartPair@24489] end

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::SM_Init@497] SDK: InitHeartPair success.

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::InitReq@24103] start

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::DeInitReq@24353] start

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::UnRegisterModule@24777] start

2026-05-26 14:07:19.129 WARN  [22236] [CServerManager::UnRegisterModule@24780] SDK: m_hCommunicationReq is NULL.

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::NotifyServerDestroy4Export@12373] start

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::NotifyServerDestroy4Export@12389] end

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::DeInitReq@24378] end

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::InitReq@24160] Bind address:[tcp://127.0.0.1:61809]

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::InitReq@24164] Bind address:[tcp://127.0.0.1:61809], nRet:[0]

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::InitReq@24168] SetSocketOpt, nRet:[0]

2026-05-26 14:07:19.129 INFO  [22236] [CServerManager::InitReq@24172] SetSocketOpt, nRet:[0]

2026-05-26 14:07:19.130 INFO  [22236] [CServerManager::InitReq@24248] SDK:Connect addr:[tcp://127.0.0.1:5556], nRet:[0]

2026-05-26 14:07:19.130 INFO  [22236] [CServerManager::InitReq@24258] SDK: Connect to vmserver rep[tcp://127.0.0.1:5556]

2026-05-26 14:07:19.130 INFO  [22236] [CServerManager::GetProxyRegisterState@23292] start.

2026-05-26 14:07:19.130 INFO  [22236] [CServerManager::GetProxyRegisterState@23364] end.

